ahe,female,age,northeast,midwest,south,west,yrseduc
20.6730766296,0,31,0,0,1,0,14
24.2788467407,0,50,0,0,1,0,12
10.1495723724,0,36,0,0,1,0,12
8.8942308426,1,33,0,0,1,0,10
6.4102563858,1,56,0,0,1,0,10
16.6666660309,1,52,0,0,1,0,12
34.6153831482,0,30,0,0,0,1,16
11.0576925278,0,41,0,0,1,0,12
19.2307701111,0,37,0,0,1,0,13
12.0192308426,1,44,0,0,1,0,13
10.2040815353,1,47,0,0,1,0,8
10.096154213,1,53,0,0,1,0,11
16.3461532593,0,55,0,0,1,0,12
45.7875442505,1,59,1,0,0,0,19
19.2307701111,1,30,1,0,0,0,16
31.7307701111,0,46,1,0,0,0,16
16.7004051208,1,46,1,0,0,0,12
27.8846149445,1,48,1,0,0,0,16
17.3076915741,0,46,1,0,0,0,14
10,1,52,1,0,0,0,12
22.1153850555,1,36,1,0,0,0,13
33.6538467407,1,48,1,0,0,0,12
32.6923065186,0,37,1,0,0,0,12
35.7142868042,1,41,1,0,0,0,18
11.5384616852,1,56,1,0,0,0,12
24.0384616852,1,41,1,0,0,0,13
12.596154213,0,53,1,0,0,0,14
16.9230766296,1,49,1,0,0,0,16
21.6346149445,0,45,1,0,0,0,13
19.2307701111,0,36,1,0,0,0,12
3.6057691574,1,23,1,0,0,0,13
33.6538467407,0,46,1,0,0,0,18
30.2884616852,0,41,1,0,0,0,16
10.8173074722,0,23,1,0,0,0,12
24.0384616852,0,23,1,0,0,0,12
29.8076915741,0,46,0,0,1,0,12
10.880566597,1,56,0,0,1,0,13
26.4423084259,0,58,0,0,1,0,12
30.2197799683,1,45,0,0,1,0,12
4.3956046104,1,21,0,0,1,0,13
15.6882591248,1,43,0,0,1,0,14
24.2914981842,1,54,0,0,1,0,12
25,0,38,0,0,1,0,13
50.4807701111,0,42,0,0,1,0,16
17.3076915741,1,41,0,0,1,0,18
47.5961532593,0,40,0,0,1,0,20
14.4230766296,1,41,0,0,1,0,16
13.7362632751,1,30,0,1,0,0,12
14.4230766296,1,61,0,0,1,0,13
14.4230766296,0,45,0,0,1,0,12
30.2884616852,0,44,0,0,1,0,12
19.2307701111,1,55,0,0,1,0,16
16.8269233704,1,62,0,0,1,0,18
15.3846149445,1,48,0,0,1,0,12
2.8846154213,0,62,0,0,1,0,14
13.9423074722,1,30,0,0,1,0,13
32.2115402222,1,61,0,0,1,0,12
12.3076925278,0,23,0,1,0,0,16
19.2307701111,0,25,1,0,0,0,16
28.2211532593,0,24,1,0,0,0,16
45.6730766296,0,42,0,0,1,0,18
16.8269233704,1,28,0,0,1,0,18
38.4615402222,1,32,0,0,1,0,16
29.9145298004,1,41,0,0,1,0,19
33.6538467407,0,33,0,0,1,0,16
33.2167816162,0,42,0,0,1,0,16
34.6153831482,0,32,1,0,0,0,19
49.0384597778,1,42,0,0,1,0,20
45.3846168518,0,40,0,0,1,0,20
34.1346168518,1,63,0,0,1,0,16
14.4230766296,0,50,0,0,1,0,12
14.4230766296,1,59,0,0,1,0,12
38.4615402222,0,58,0,0,1,0,16
13.0769233704,0,43,0,0,1,0,12
42.735042572,0,57,0,0,1,0,16
21.6346149445,1,55,0,0,1,0,16
12.8205127716,1,34,0,0,1,0,18
13.9860143661,0,58,0,0,1,0,16
40.4858283997,1,55,0,0,1,0,12
6.25,1,59,0,0,1,0,12
8.653845787,0,26,0,0,1,0,13
12.9807691574,1,55,0,0,1,0,13
13.4615383148,0,28,0,0,1,0,14
18.75,0,32,0,0,1,0,13
48.0769233704,0,56,0,0,1,0,16
39.4230766296,0,42,0,0,1,0,12
2.5,1,47,0,0,1,0,12
3.2051281929,1,45,0,0,1,0,13
11.1111106873,0,41,0,0,1,0,12
14.4230766296,1,59,0,0,1,0,13
10,0,62,0,0,1,0,12
10.5769233704,1,49,0,0,1,0,12
23.0769233704,0,45,0,0,1,0,12
11.5384616852,0,39,0,0,1,0,12
9.6153850555,0,32,0,0,1,0,12
42.735042572,0,46,0,0,1,0,12
27.7777786255,0,42,0,0,1,0,13
8.5207099915,1,50,0,0,1,0,16
7.3846154213,1,28,0,0,1,0,13
19.2307701111,0,30,0,0,1,0,12
9.1346149445,1,27,0,0,1,0,12
15,0,41,0,0,1,0,14
9.6153850555,0,49,0,0,1,0,6
19.2307701111,1,32,0,0,1,0,16
23.0769233704,1,31,0,0,1,0,16
16.0256404877,1,36,0,0,1,0,16
5.7692308426,1,56,0,0,1,0,12
13.4615383148,0,26,0,0,1,0,12
16.4835166931,0,53,0,0,1,0,13
16.4835166931,1,53,0,0,1,0,14
10.897436142,0,49,1,0,0,0,12
19.6153850555,1,47,0,0,1,0,16
15.8653850555,0,48,0,0,1,0,12
18.0769233704,0,38,0,0,1,0,12
13.7362632751,1,38,0,0,1,0,12
11.5384616852,0,27,1,0,0,0,13
10.096154213,0,22,1,0,0,0,11
5.7692308426,0,53,0,0,1,0,12
7.3076925278,1,59,0,0,1,0,12
5.7692308426,0,22,0,0,1,0,13
10.5769233704,0,45,0,0,1,0,12
8.0128202438,1,50,0,0,1,0,12
6.263736248,1,46,0,0,1,0,12
32.6923065186,1,49,0,0,1,0,16
9.1346149445,0,49,0,0,1,0,14
5.06072855,0,38,0,0,1,0,18
26.4423084259,1,44,0,0,1,0,18
9.6153850555,1,58,0,0,1,0,14
24.0384616852,0,36,0,0,1,0,16
29.2000007629,0,51,0,0,1,0,18
11.5384616852,1,49,0,0,1,0,12
9.2147436142,1,44,0,0,1,0,13
9.6153850555,1,45,0,0,1,0,12
16.0256404877,0,46,0,0,1,0,12
20.5128211975,0,44,0,0,1,0,13
14.4230766296,0,40,0,0,1,0,11
39.7157173157,0,47,0,0,1,0,13
6.4102563858,1,53,0,0,1,0,14
24.0384616852,1,57,0,0,0,1,13
10.1648349762,1,50,0,0,1,0,16
22.4358978271,0,50,0,0,1,0,12
35.4020996094,1,51,0,0,1,0,16
13.1623935699,1,39,0,0,1,0,12
18.8816261292,0,52,0,0,1,0,12
15.3846149445,1,33,0,0,1,0,16
18.6298084259,1,56,0,0,1,0,12
9.6153850555,1,33,0,0,1,0,12
26.1538467407,0,29,0,0,1,0,16
17.441860199,1,28,0,0,1,0,16
8.4134616852,1,31,0,0,1,0,12
8.1730766296,0,24,0,0,1,0,12
23.0769233704,0,24,0,0,1,0,10
8.125,0,34,0,0,1,0,12
26.4423084259,0,29,0,0,1,0,16
29.8076915741,0,44,0,0,1,0,16
17.3076915741,0,41,0,0,1,0,14
14.102563858,0,33,0,0,1,0,13
20.6730766296,0,56,0,0,1,0,12
12.0192308426,1,39,0,0,1,0,10
38.4615402222,0,39,0,0,1,0,12
6.5789475441,1,52,0,0,1,0,10
6.221719265,1,30,0,0,1,0,12
8.653845787,1,52,0,0,1,0,12
24.0384616852,0,29,0,0,1,0,14
12.9807691574,1,57,0,0,1,0,12
15.3846149445,0,53,0,0,1,0,12
15.8119659424,0,33,0,0,1,0,14
17.0940170288,1,33,0,0,1,0,13
9.61490345,0,62,0,0,1,0,10
14.903845787,0,55,0,0,1,0,12
15,1,61,0,0,1,0,13
18.0769233704,1,51,0,1,0,0,16
29.6153850555,0,37,0,0,1,0,16
25,0,45,0,1,0,0,16
4.9450550079,1,42,0,1,0,0,14
12.0192308426,1,56,0,1,0,0,16
25.6410255432,0,60,0,1,0,0,13
19.2307701111,0,41,0,0,1,0,12
16.8269233704,1,41,0,0,1,0,13
3.8461537361,1,54,0,0,1,0,11
14.102563858,1,34,0,0,1,0,18
12.6923074722,0,53,0,0,1,0,13
24.0384616852,1,42,0,0,1,0,16
12.5874128342,0,63,0,0,1,0,18
14.4230766296,1,50,0,0,1,0,12
13.9423074722,1,27,0,0,1,0,16
15.3846149445,1,47,0,0,1,0,10
9.2307691574,1,27,0,0,1,0,13
14.4230766296,1,46,0,0,1,0,12
30.7692298889,1,64,0,0,1,0,12
12.9807691574,1,56,0,0,1,0,12
8.1730766296,1,38,0,0,1,0,11
9.3917713165,1,27,0,0,1,0,14
14.4230766296,1,41,1,0,0,0,12
21.6346149445,0,42,1,0,0,0,12
14.4230766296,1,45,1,0,0,0,12
10.5384616852,0,27,1,0,0,0,13
9.1346149445,0,40,1,0,0,0,12
18.0288467407,0,37,1,0,0,0,16
38.4615402222,0,29,0,0,1,0,18
11.4583330154,0,56,0,0,1,0,13
44.4838066101,1,37,0,0,1,0,19
36.7132873535,0,57,0,0,1,0,13
38.4615402222,0,35,0,0,1,0,16
45.1923065186,0,56,0,0,1,0,14
19.2307701111,0,29,0,0,1,0,18
9.6153850555,0,53,0,0,1,0,12
15.3846149445,1,53,0,0,1,0,12
4.578754425,1,27,0,0,1,0,11
9.7902097702,0,25,0,0,1,0,10
10.8173074722,1,29,0,0,1,0,11
21.2550601959,0,27,1,0,0,0,14
33.6538467407,0,48,1,0,0,0,20
42.3076934814,0,48,1,0,0,0,18
21.1538467407,1,59,1,0,0,0,12
13.4615383148,0,63,1,0,0,0,8
11.8589744568,1,54,1,0,0,0,12
40.8653831482,0,46,1,0,0,0,12
5.7692308426,0,29,1,0,0,0,12
5.7692308426,1,28,1,0,0,0,13
48.0769233704,0,63,1,0,0,0,16
7.2115383148,0,22,1,0,0,0,12
43.2692298889,0,45,1,0,0,0,19
55.2884597778,1,40,1,0,0,0,19
48.0769233704,0,33,1,0,0,0,16
28.8461532593,1,27,1,0,0,0,16
8,1,42,1,0,0,0,12
26.4423084259,0,61,1,0,0,0,18
27.8846149445,1,60,1,0,0,0,14
13.9423074722,1,35,1,0,0,0,13
20.1923084259,0,41,1,0,0,0,12
9.6153850555,1,40,1,0,0,0,12
36.871635437,1,46,1,0,0,0,16
24.5192298889,0,42,1,0,0,0,6
14.4230766296,0,49,1,0,0,0,12
9.6153850555,0,25,1,0,0,0,12
14.529914856,1,24,1,0,0,0,12
20.6730766296,1,58,1,0,0,0,12
21.6346149445,1,38,1,0,0,0,16
20.6730766296,0,37,1,0,0,0,14
20.1923084259,0,64,1,0,0,0,18
28.8461532593,0,48,1,0,0,0,12
12.596154213,1,26,1,0,0,0,16
11.5384616852,0,52,1,0,0,0,13
19.2307701111,0,41,0,1,0,0,14
13.5,0,29,0,1,0,0,12
6.25,1,64,0,1,0,0,13
14.4230766296,1,33,0,1,0,0,16
17.3076915741,1,43,0,1,0,0,13
47.0836524963,0,45,0,1,0,0,18
37.5,0,63,0,1,0,0,13
38.4615402222,0,46,0,1,0,0,16
26.375,1,27,0,1,0,0,13
38.4615402222,0,36,0,1,0,0,16
25.4807701111,0,53,0,1,0,0,13
8.653845787,1,34,0,1,0,0,13
43.2692298889,0,53,0,1,0,0,12
16.8269233704,1,48,0,1,0,0,12
21.1538467407,0,33,0,1,0,0,12
42.735042572,1,30,0,1,0,0,19
23.0769233704,0,31,0,1,0,0,16
42.3076934814,0,51,0,1,0,0,16
26.4423084259,1,51,0,1,0,0,13
26.4423084259,0,53,0,1,0,0,13
11.5384616852,1,40,0,1,0,0,18
2.3426573277,0,32,0,1,0,0,16
12.9807691574,0,30,0,1,0,0,16
11.778845787,1,23,0,1,0,0,14
14.903845787,0,49,0,1,0,0,12
30.625,1,56,0,1,0,0,13
45.6730766296,0,43,0,1,0,0,18
11.0576925278,0,21,0,1,0,0,12
19.2307701111,1,40,0,1,0,0,14
19.2307701111,0,43,0,1,0,0,12
4.1826925278,0,33,0,1,0,0,12
12.2987480164,1,36,1,0,0,0,16
12.6518220901,1,58,1,0,0,0,11
14.1700401306,0,57,1,0,0,0,10
16.9711532593,0,32,1,0,0,0,13
19.2307701111,0,58,0,0,1,0,12
21.6346149445,1,52,0,0,1,0,12
10,0,60,1,0,0,0,12
28.8461532593,0,50,1,0,0,0,16
12.9807691574,1,54,1,0,0,0,12
13.8062934875,1,52,1,0,0,0,14
43.0769233704,0,52,1,0,0,0,18
14.4230766296,1,50,1,0,0,0,12
19.2307701111,0,41,0,0,1,0,13
6.0439562798,1,41,0,0,1,0,13
42.3076934814,0,60,1,0,0,0,16
35.470085144,0,30,1,0,0,0,13
15.6882591248,1,26,1,0,0,0,13
23.0769233704,0,46,1,0,0,0,12
14.4230766296,0,56,1,0,0,0,13
16.8269233704,1,57,1,0,0,0,16
15.3846149445,1,27,1,0,0,0,18
18.75,0,30,1,0,0,0,16
9.6153850555,0,64,1,0,0,0,8
8.1730766296,1,57,1,0,0,0,12
13.9423074722,0,26,1,0,0,0,12
10.3205127716,0,49,1,0,0,0,13
8.0128202438,0,36,1,0,0,0,16
46.7032966614,1,35,1,0,0,0,16
40.9919013977,0,59,1,0,0,0,16
38.9423065186,1,58,1,0,0,0,18
36.0576934814,0,43,1,0,0,0,11
19.2307701111,1,37,1,0,0,0,12
36.3247871399,1,58,1,0,0,0,16
14.4230766296,0,32,1,0,0,0,16
7.8976035118,1,58,1,0,0,0,13
25.6171741486,1,55,1,0,0,0,18
51.4423065186,1,40,1,0,0,0,18
19.2307701111,0,36,1,0,0,0,8
9.6153850555,0,37,1,0,0,0,8
14.4230766296,0,46,1,0,0,0,10
14.4230766296,1,37,1,0,0,0,10
16.9230766296,0,35,1,0,0,0,12
60.5769233704,1,46,1,0,0,0,16
34.6153831482,1,43,1,0,0,0,13
17.4038467407,0,27,1,0,0,0,13
24.0384616852,1,30,1,0,0,0,16
9.6153850555,0,33,1,0,0,0,11
29.7202796936,1,58,1,0,0,0,18
19.2307701111,1,39,1,0,0,0,13
8.653845787,1,61,1,0,0,0,8
5.1282052994,1,47,1,0,0,0,12
16.8269233704,0,48,1,0,0,0,13
10.8173074722,1,49,1,0,0,0,13
7.2115383148,0,37,1,0,0,0,12
20.3846149445,0,37,1,0,0,0,14
22.5961532593,1,35,1,0,0,0,13
28.8461532593,0,50,1,0,0,0,14
17.3076915741,0,50,1,0,0,0,12
20.6730766296,0,41,1,0,0,0,13
31.6506404877,0,49,1,0,0,0,13
12.0192308426,1,23,1,0,0,0,16
14.9572649002,1,39,1,0,0,0,14
15.7692308426,0,61,1,0,0,0,12
18.8301277161,0,49,1,0,0,0,13
17.7884616852,1,50,1,0,0,0,16
4.8076925278,1,60,1,0,0,0,14
15,1,29,1,0,0,0,14
52.1367530823,1,54,1,0,0,0,16
7.5,1,50,1,0,0,0,6
13.3653850555,0,40,1,0,0,0,14
31.25,0,41,1,0,0,0,12
12.0192308426,1,53,1,0,0,0,12
19.2307701111,0,45,1,0,0,0,11
9.6153850555,0,26,1,0,0,0,10
27.4725265503,1,60,1,0,0,0,16
10.5769233704,1,61,1,0,0,0,18
12.0192308426,1,54,1,0,0,0,12
25.9875259399,0,57,1,0,0,0,16
16.8269233704,0,40,1,0,0,0,16
6.9230771065,1,39,1,0,0,0,16
19.2307701111,1,39,0,0,1,0,18
31.5384616852,0,57,1,0,0,0,16
17.7125511169,1,26,1,0,0,0,16
11.5384616852,0,45,1,0,0,0,12
8.653845787,0,24,1,0,0,0,12
22.5961532593,1,47,1,0,0,0,14
22.4358978271,0,58,1,0,0,0,13
15.8653850555,0,49,1,0,0,0,16
12.1735572815,1,43,1,0,0,0,12
23.0769233704,1,57,1,0,0,0,14
16.6666660309,0,49,1,0,0,0,12
20.1923084259,1,49,1,0,0,0,12
29.9145298004,0,56,1,0,0,0,18
14.3544578552,0,41,1,0,0,0,12
2.5,1,38,1,0,0,0,12
18.4615383148,0,40,1,0,0,0,12
13.2201919556,1,27,1,0,0,0,14
42.7884597778,0,27,1,0,0,0,16
16.8269233704,1,58,1,0,0,0,12
44.028339386,0,48,1,0,0,0,12
40.8653831482,0,59,1,0,0,0,18
16.6666660309,1,41,1,0,0,0,18
46.1538467407,0,54,1,0,0,0,14
33.6538467407,1,53,1,0,0,0,18
24.0384616852,0,26,1,0,0,0,18
42.3076934814,1,26,1,0,0,0,19
15.3846149445,1,39,1,0,0,0,12
20.8604946136,0,38,1,0,0,0,13
13.221154213,0,52,1,0,0,0,16
17.0329666138,0,41,1,0,0,0,14
11.0576925278,1,46,1,0,0,0,14
15,0,26,1,0,0,0,16
7.6923074722,0,32,1,0,0,0,12
38.4615402222,0,61,1,0,0,0,13
15.8862876892,0,43,1,0,0,0,12
9.8557691574,1,46,1,0,0,0,12
27.2727279663,0,54,1,0,0,0,12
28.8461532593,1,27,1,0,0,0,16
28.8461532593,0,38,1,0,0,0,12
25.9615383148,0,51,1,0,0,0,12
8.7912092209,0,29,1,0,0,0,12
11.0576925278,0,24,1,0,0,0,10
15.8653850555,1,25,1,0,0,0,12
16.8269233704,0,43,1,0,0,0,12
8.5470085144,1,61,1,0,0,0,16
9.6153850555,1,56,1,0,0,0,12
3.5,0,22,1,0,0,0,12
34.1346168518,1,60,1,0,0,0,12
18.4911251068,0,62,1,0,0,0,12
10.5769233704,0,57,1,0,0,0,13
9.2307691574,1,41,1,0,0,0,12
8.1730766296,0,25,1,0,0,0,12
9.6153850555,1,55,1,0,0,0,10
